OBJECTID,CSA2010,p2more10,p2more15,p2more16,p2more17,p2more18,p2more19,p2more20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,1.30727014860948,2.15174129353234,2.09633444410785,1.00442425,1.25744138014822,1.238271526,3.149446992,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,1.54109589041096,2.36668663870581,3.05927342256214,3.308192069,3.24849040739891,2.847584222,3.401473144,47882527.7110596,37524.9505334171
3,Belair-Edison,1.14836931557189,0.947692307692308,2.20140794654576,1.69735328,2.10062963169331,1.936447739,2.751077229,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,4.05111282735379,3.33652399835909,3.47643827695866,3.612403101,3.85632967209171,4.561403509,5.779360487,176077742.748718,150987.703638772
5,Canton,1.32098765432099,1.74447791164659,2.51772182840381,2.450156137,2.2797670672779,1.588071281,4.102439616,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,1.79139958398777,1.25733091430741,1.01349894337344,0.777004076,0.462943654335404,0.5133846718,2.841238032,71541340.3063965,39962.5498347165
7,Cherry Hill,1.14606193611314,2.54068610232994,2.28903736698837,1.425384234,1.47765920018763,1.990918617,3.175026681,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,1.7792676637442,3.86972719625045,2.53344382621049,2.615384615,2.12563828523928,2.04105435,3.850948885,21022590.1307373,21705.411630344
9,Claremont/Armistead,2.00461669298992,1.96831493038886,3.12429759496516,4.088421504,3.60549208678335,3.589642997,3.232568402,61243774.4211426,40104.415980189
10,Clifton-Berea,1.09378164877456,0.843932009984548,1.23048877748661,1.45198548,1.468498342018,0.1881910139,2.916721658,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,1.21221420899187,0.556506849315068,0.198339822228752,0.123762376,0.104360790160268,0.1034661148,2.959206842,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,1.04852475006096,5.78095995757094,6.8762278978389,5.601715358,5.89763574954533,5.95603272,3.48583878,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,0.839979636857288,2.80636108512629,1.54734024757444,1.472350625,1.40721964863211,0.9154814452,2.643424959,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,2.79242941358982,1.91104346355488,1.0798793076068,1.607224858,2.39227554402651,2.739546467,5.397967824,20736554.4064941,21565.859394559
15,Edmondson Village,1.20253164556962,0.478524743230626,0.52232309414252,0.796568627,0.676014021031547,0.8320914059,2.453122797,23563061.0443115,21504.551357829
16,Fells Point,2.01349706825976,1.98237885462555,3.70572207084469,4.167571087,3.5847250292522,3.369407564,4.831735289,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,1.14732460148238,1.2744451768842,1.65945165945166,1.69358015,3.19274376417233,3.32141513,2.567366858,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,1.4483036073488,1.97710718002081,1.56156515495991,1.570943823,1.20481927710843,0.939727803,2.807477409,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,2.75761088402172,3.46702101956994,4.23251589464124,3.728834281,4.44022319838537,3.930586215,5.240793201,27051213.4559937,26454.2692113332
20,Greater Govans,1.30137627562962,2.08139750975655,1.24259223857771,1.146853147,1.12775004621926,1.71053882,3.398311269,22698495.7178955,22982.125714974
21,Greater Mondawmin,1.19073160266037,2.7574321413184,2.43825538623226,2.640554516,2.52293577981651,2.964929749,2.697383654,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,1.93845736749356,2.86089238845144,3.05462076106653,3.016393443,2.82652377762893,2.654505854,4.146642867,56688145.1790161,39862.7497953118
23,Greater Rosemont,1.30847915260398,0.435032947348218,0.372999639032607,0.593728384,0.491540923639689,0.713077109,2.430624545,42204384.5406494,32559.0762211491
24,Greenmount East,1.08748778103617,0.286048628266805,0.328697850821745,0.305615688,0.396615547329455,0.1202244189,2.156721783,19072287.8240967,20797.4734578598
25,Hamilton,2.31502845716044,3.13635352561726,4.14187983343248,4.038655705,3.58598207008964,3.879811043,3.938342345,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,1.59053079341594,0.813008130081301,0.79351084464821,0.932770151,1.17459685446944,0.4507405023,4.018301174,10215859.0836182,18552.4075815937
27,Harford/Echodale,1.81721004810262,1.03793401705177,1.38079554091715,1.716445656,1.59633708699418,1.691984686,4.048632219,65360039.1698608,40019.1854001996
28,Highlandtown,1.93103448275862,2.20276371596662,1.88965517241379,2.228923561,1.9576293912577,2.158848614,3.412698413,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,1.26000183941874,1.31716099687293,1.27825120414969,1.732213875,1.97539732423453,1.884964327,2.706158108,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,1.57137300661221,1.96519651965197,2.8698224852071,2.715431599,3.05983680870353,2.295761671,4.20523671,24995836.2615967,43415.0595478862
31,Lauraville,2.42809419049947,2.55572793337144,3.00147613580449,2.708895982,2.2893246902437,2.123662501,4.247615684,49665744.2354736,34419.676527973
32,Loch Raven,1.47606296126968,0.545845189013414,0.644972148929932,0.720731279,2.15596895404706,2.159149154,2.725796201,44147812.3265381,29314.3346718286
33,Madison/East End,1.2080709420383,0.638534147695725,0.242995997712979,0.30344409,0.434175841215692,0.211584237,3.577876251,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,2.16241085806303,2.60208166533227,2.52120640904807,2.78355561,2.367941712204,2.631899598,4.308351661,62441489.2398071,43152.625699222
35,Midtown,2.92276964047936,2.98305521551446,2.65970668655232,3.321826353,4.40392886948706,4.344521849,4.889174806,23823949.9294434,25020.0969698082
36,Midway/Coldstream,1.14297589359934,1.29328772979906,1.58511371467953,1.486826282,2.01082753286929,1.326565925,3.165156229,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,2.44310575635877,2.34813680449209,2.31040334160031,2.479770295,2.16331124171564,1.794578083,5.235479724,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,2.4187306501548,0.447993767043241,0.78031212484994,0.883002208,1.21449559255631,2.085747393,4.801381693,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,1.94686211635364,4.30156995801944,5.04250274677615,5.359256128,4.16879940851959,4.706149824,4.95858391,74923987.6937256,42904.2221443544
40,Northwood,1.53818422159466,2.98542686884182,2.64697364610484,2.531068293,3.05899908172635,2.975075229,3.08263951,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,1.04779962079633,0.193861066235864,0.110913930789707,0.474984167,0.975816716164616,1.217266776,3.167149565,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,1.93845142919724,3.715953307393,3.44387755102041,3.375802102,4.6031000469704,4.508840864,2.651712746,89894372.2113037,47825.8629266244
43,Patterson Park North & East,1.80768437693312,2.06520237601879,1.8204131724279,2.165632054,3.88307155322862,3.06345733,3.770949721,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,1.72734795200662,1.50340393343419,1.00713796812359,0.879931876,1.27586899738798,1.453308596,3.877601586,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,1.24407582938389,1.0439842546637,1.56122356358355,1.154319236,1.00175063217272,1.393800707,2.495733788,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,1.35666535587888,1.6273393002441,1.63934426229508,1.737691353,1.48955091151622,2.158717105,3.807106599,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,1.0405477980666,0.786183786570434,1.09002825999193,0.446834293,0.617968626208207,0.7189984774,2.44990979,23672092.8682861,20987.1433066354
48,South Baltimore,1.45176397127693,1.33859377201634,0.801957319559603,0.811108056,0.649614291514413,1.006846557,4.276315789,46353935.4255981,68440.0258266401
49,Southeastern,2.23642172523962,1.28962923159592,0.360750360750361,1.026320146,1.27935222672064,2.220841746,3.278204371,111251478.472229,102291.480547698
50,Southern Park Heights,1.12165010538994,0.421940928270042,0.774697938877043,1.377610209,1.42009987515605,1.958910655,2.495309568,27876227.5908203,24052.221372193
51,Southwest Baltimore,2.05759015935141,3.58289082103052,2.28367427891426,2.962655109,3.28663793103448,3.061817712,3.806202138,37766068.8365479,28355.563581391
52,The Waverlies,1.84444731071843,1.68034889687019,2.06922498118886,2.563172531,3.99208997651711,3.964871497,4.07106883,20383750.5437012,18733.826879757
53,Upton/Druid Heights,1.35370334558113,1.14189256280409,1.09246976199766,1.194906954,1.59114857744994,1.890440387,3.375953342,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,2.48955115391605,3.42376052385407,2.65957446808511,3.424023691,4.31535269709543,4.534089015,5.12622856,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,1.82609917123191,0.933103646281941,0.936356986100951,0.90437361,0.361578368181103,0.2376802408,3.385009245,45494092.9501953,42573.1244161851
